Sampling Timestamp,Site Name,Aluminum Dissolved,Aluminum Total Recoverable,Calcium Dissolved,Calcium Total,Copper Dissolved,Copper Total Recoverable,Lead Dissolved,Lead Total Recoverable,Nickel Dissolved,Nickel Total Recoverable,Nitrogen Total,Phosphorus Total,Phosphorus Total Dissolved,Vanadium Dissolved,Vanadium Total Recoverable,Unit Symbol,Distance Group
2013-09-04 12:00:00,SHIPYARD LAKE,,,25400.0,,,,,0.1,,,,23.8,17.7,,,µg/l,Mid-Fields
2013-09-05 03:00:00,MCCLELLAND LAKE,,,21500.0,,0.409,,,,,,,,,,,µg/l,Mid-Fields
2013-09-05 07:00:00,MCCLELLAND LAKE,,,,,,,,,,,,,,,0.1,µg/l,Mid-Fields
2013-09-05 08:00:00,MCCLELLAND LAKE,,4.31,,,,,,,,,,,,,,µg/l,Mid-Fields
2013-09-05 09:00:00,MCCLELLAND LAKE,,,,,,,0.1,,,,1050.0,,5.8999999999999995,,,µg/l,Mid-Fields
2013-09-05 11:00:00,MCCLELLAND LAKE,,,,21800.0,,,,0.102,0.179,0.215,,17.3,,0.1,,µg/l,Mid-Fields
2013-09-05 12:00:00,MCCLELLAND LAKE,2.49,,,,,0.589,,,,,,,,,,µg/l,Mid-Fields
2014-09-03 03:00:00,SHIPYARD LAKE,,41.7,,,0.28,,,,,,,,,,,µg/l,Mid-Fields
2014-09-03 10:00:00,SHIPYARD LAKE,2.54,,,21300.0,,0.28,,,,,964.0,,,0.38,,µg/l,Mid-Fields
2014-09-03 11:00:00,SHIPYARD LAKE,,,,,,,0.01,,0.302,0.454,,,,,0.53,µg/l,Mid-Fields
2014-09-03 12:00:00,SHIPYARD LAKE,,,18600.0,,,,,0.025,,,,64.9,11.2,,,µg/l,Mid-Fields
2014-09-05 03:00:00,MCCLELLAND LAKE,,,17800.0,,0.16,,,,,,,,,,,µg/l,Mid-Fields
2014-09-05 07:00:00,MCCLELLAND LAKE,,,,,,,,,,,,,,,0.12,µg/l,Mid-Fields
2014-09-05 08:00:00,MCCLELLAND LAKE,,11.1,,,,,,,,,,,,,,µg/l,Mid-Fields
2014-09-05 09:00:00,MCCLELLAND LAKE,,,,,,,0.005,,,,864.0,,2.1,,,µg/l,Mid-Fields
2014-09-05 11:00:00,MCCLELLAND LAKE,,,,20100.0,,,,0.016,0.006,0.008,,13.6,,0.1,,µg/l,Mid-Fields
2014-09-05 12:00:00,MCCLELLAND LAKE,0.55,,,,,0.17,,,,,,,,,,µg/l,Mid-Fields
2016-03-15 03:00:00,MCCLELLAND LAKE,,,34000.0,,0.3,,,,,,,,,,,µg/l,Mid-Fields
2016-03-15 07:00:00,MCCLELLAND LAKE,,,,,,,,,,,,,,,0.1,µg/l,Mid-Fields
2016-03-15 08:00:00,MCCLELLAND LAKE,,21.7,,,,,,,,,,,,,,µg/l,Mid-Fields
2016-03-15 09:00:00,MCCLELLAND LAKE,,,,,,,0.004,,,,1100.0,,6.0,,,µg/l,Mid-Fields
2016-03-15 11:00:00,MCCLELLAND LAKE,,,,35300.0,,,,0.015,0.051,0.07,,14.0,,0.06,,µg/l,Mid-Fields
2016-03-15 12:00:00,MCCLELLAND LAKE,0.13,,,,,0.3,,,,,,,,,,µg/l,Mid-Fields
2016-07-19 03:00:00,MCCLELLAND LAKE,,,12700.0,,0.16,,,,,,,,,,,µg/l,Mid-Fields
2016-07-19 07:00:00,MCCLELLAND LAKE,,,,,,,,,,,,,,,0.13,µg/l,Mid-Fields
2016-07-19 08:00:00,MCCLELLAND LAKE,,16.0,,,,,,,,,,,,,,µg/l,Mid-Fields
2016-07-19 09:00:00,MCCLELLAND LAKE,,,,,,,0.006,,,,910.0,,3.0,,,µg/l,Mid-Fields
2016-07-19 11:00:00,MCCLELLAND LAKE,,,,12700.0,,,,0.006,0.101,0.102,,10.0,,0.11,,µg/l,Mid-Fields
2016-07-19 12:00:00,MCCLELLAND LAKE,1.06,,,,,0.16,,,,,,,,,,µg/l,Mid-Fields
2016-09-20 03:00:00,MCCLELLAND LAKE,,,22300.0,,0.22,,,,,,,,,,,µg/l,Mid-Fields
2016-09-20 03:00:00,SHIPYARD LAKE,,20.5,,,0.39,,,,,,,,,,,µg/l,Mid-Fields
2016-09-20 07:00:00,MCCLELLAND LAKE,,,,,,,,,,,,,,,0.15,µg/l,Mid-Fields
2016-09-20 08:00:00,MCCLELLAND LAKE,,4.3,,,,,,,,,,,,,,µg/l,Mid-Fields
2016-09-20 09:00:00,MCCLELLAND LAKE,,,,,,,0.012,,,,810.0,,5.0,,,µg/l,Mid-Fields
2016-09-20 10:00:00,SHIPYARD LAKE,1.44,,,22600.0,,0.4,,,,,1100.0,,,0.23,,µg/l,Mid-Fields
2016-09-20 11:00:00,MCCLELLAND LAKE,,,,22700.0,,,,0.012,0.006,0.008,,19.0,,0.13,,µg/l,Mid-Fields
2016-09-20 11:00:00,SHIPYARD LAKE,,,,,,,0.032,,0.608,0.668,,,,,0.35,µg/l,Mid-Fields
2016-09-20 12:00:00,MCCLELLAND LAKE,0.39,,,,,0.22,,,,,,,,,,µg/l,Mid-Fields
2016-09-20 12:00:00,SHIPYARD LAKE,,,21300.0,,,,,0.043,,,,25.0,9.0,,,µg/l,Mid-Fields
2017-03-14 03:00:00,MCCLELLAND LAKE,,,32800.0,,0.25,,,,,,,,,,,µg/l,Mid-Fields
2017-03-14 07:00:00,MCCLELLAND LAKE,,,,,,,,,,,,,,,0.13,µg/l,Mid-Fields
2017-03-14 08:00:00,MCCLELLAND LAKE,,8.7,,,,,,,,,,,,,,µg/l,Mid-Fields
2017-03-14 09:00:00,MCCLELLAND LAKE,,,,,,,0.004,,,,1100.0,,5.8,,,µg/l,Mid-Fields
2017-03-14 11:00:00,MCCLELLAND LAKE,,,,33100.0,,,,0.035,0.068,0.848,,16.0,,0.13,,µg/l,Mid-Fields
2017-03-14 12:00:00,MCCLELLAND LAKE,0.82,,,,,0.32,,,,,,,,,,µg/l,Mid-Fields
