lake,project_number,sample_number,station_number,station,latitude_decimal_degrees,longitude_decimal_degrees,sample_datetime,station_type_code,sample_matrix_code,sample_type_code,collection_code,qc_sample_flag,sample_comment,continental_river_basin_code,river_basin_code,river_sub_basin_code,aluminum_total_recoverable,calcium_dissolved_filtered,calcium_total_recoverable,copper_total,copper_total_recoverable,lead_total_recoverable,nickel_total,nickel_total_recoverable,nitrogen_dissolved_nitrite,nitrogen_dissolved_no3_no2,nitrogen_particulate_total,oxygen_dissolved_field_meter,oxygen_dissolved_winkler,ph_lab,phosphorus_total,phosphorus_total_dissolved,turbidity_ntu,vanadium_total,vanadium_total_recoverable
gregoire,ABS019,00SWE03780,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,2000-08-23 13:35:00,1,0,1,122.0,N,,MAC,ATH,07CE,,,,,,,,,,,,9.68,,,,,,,
gregoire,ABS019,00SWE03782,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,2000-08-23 13:37:00,1,0,1,122.0,N,,MAC,ATH,07CE,,,,,,,,,,,,9.57,,,,,,,
gregoire,ABS019,00SWE03784,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,2000-08-23 13:39:00,1,0,1,122.0,N,,MAC,ATH,07CE,,,,,,,,,,,,9.47,,,,,,,
gregoire,ABS019,00SWE03785,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,2000-08-23 13:40:00,1,0,1,122.0,N,,MAC,ATH,07CE,,,,,,,,,,,,9.37,,,,,,,
gregoire,ABS019,00SWE03786,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,2000-08-23 13:41:00,1,0,1,122.0,N,,MAC,ATH,07CE,,,,,,,,,,,,9.18,,,,,,,
gregoire,ABS019,04SWE01066,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,2004-06-22 08:25:00,1,0,1,122.0,N,Lake Profile data from :Parks Field Data 2004.csv,MAC,ATH,07CE,,,,,,,,,,,,9.42,,,,,,,
gregoire,ABS019,04SWE01067,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,2004-06-22 08:26:00,1,0,1,122.0,N,,MAC,ATH,07CE,,,,,,,,,,,,9.41,,,,,,,
gregoire,ABS019,04SWE01068,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,2004-06-22 08:27:00,1,0,1,122.0,N,,MAC,ATH,07CE,,,,,,,,,,,,9.39,,,,,,,
gregoire,ABS019,04SWE01069,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,2004-06-22 08:28:00,1,0,1,122.0,N,,MAC,ATH,07CE,,,,,,,,,,,,9.4,,,,,,,
gregoire,ABS019,04SWE01070,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,2004-06-22 08:29:00,1,0,1,122.0,N,,MAC,ATH,07CE,,,,,,,,,,,,9.39,,,,,,,
gregoire,ABS019,04SWE01071,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,2004-06-22 08:30:00,1,0,1,122.0,N,,MAC,ATH,07CE,,,,,,,,,,,,9.37,,,,,,,
