Site Name,Sampling Date,Distance Group,Aluminum Dissolved,Aluminum Total Recoverable,Calcium Dissolved,Calcium Total,Copper Dissolved,Copper Total Recoverable,Lead Dissolved,Lead Total Recoverable,Mercury Dissolved,Mercury Total,Methyl Mercury,Nickel Dissolved,Nickel Total Recoverable,Nitrogen Kjeldahl Dissolved,Nitrogen Kjeldahl Total,pH,pH (Field),Phosphorus Total,Phosphorus Total Dissolved,Turbidity,Vanadium Total Recoverable,Vanadium Dissolved,OXYGEN BIOCHEMICAL DEMAND,Oxygen Dissolved (Field Meter),Oxygen dissolved % saturation,Unit Symbol,Year
"GREGOIRE LAKE, (NO DESCRIP)",1973-06-18,Far,,,15.0,,,,,,,,,,,,,7.8,,,,,,,,,,mg/L,1973.0
"GREGOIRE LAKE, (NO DESCRIP)",1973-08-14,Far,,,9.0,,,,,,,,,,,,,8.2,,,,,,,,,,mg/L,1973.0
"GREGOIRE LAKE, (NO DESCRIP)",1974-08-19,Far,,,20.0,,,,,,,,,,,,,8.3,,,,,,,,,,mg/L,1974.0
"GREGOIRE LAKE, (NO DESCRIP)",1981-05-12,Far,,,15.0,,,,,,,,,,,,,7.5,,,,,,,,,,mg/L,1981.0
"GREGOIRE LAKE, AT MOUTH OF GREGOIRE RIVER",1972-07-31,Far,,,15.2,,,,,,,,,,,,,8.1,,,,,,,,,,mg/L,1972.0
"GREGOIRE LAKE, AT WIER - GRAB",1976-10-29,Far,,,14.5,,,,,,,,,,,,,7.3,,0.07,,,,,,,,mg/L,1976.0
"GREGOIRE LAKE, AT WIER - GRAB",1976-12-22,Far,,,18.5,,,,,,,0.0001,,,,,0.81,7.3,,0.02,,,,,,,,mg/L,1976.0
"GREGOIRE LAKE, AT WIER - GRAB",1977-01-11,Far,,,18.5,,,,,,,,,,,,0.86,7.3,,0.02,,,,,,,,mg/L,1977.0
"GREGOIRE LAKE, AT WIER - GRAB",1977-02-25,Far,,,18.0,,,,,,,,,,,,0.82,7.8,,0.02,,,,,,,,mg/L,1977.0
"GREGOIRE LAKE, AT WIER - GRAB",1977-03-09,Far,,,18.5,,,,,,,0.0002,,,,,0.97,8.0,,0.03,,,,,,15.4,,mg/L,1977.0
"GREGOIRE LAKE, AT WIER - GRAB",1977-04-27,Far,,,13.5,,,,,,,,,,,,0.66,7.5,,0.02,,,,,,13.0,,mg/L,1977.0
"GREGOIRE LAKE, AT WIER - GRAB",1977-05-20,Far,,,14.5,,,,,,,,,,,,0.74,7.6,7.5,0.02,,,,,,8.75,,mg/L,1977.0
"GREGOIRE LAKE, AT WIER - GRAB",1977-06-09,Far,,,13.5,,,,,,,,,,,,0.97,7.2,,0.04,,,,,,8.2,,mg/L,1977.0
"GREGOIRE LAKE, AT WIER - GRAB",1977-07-28,Far,,,13.5,,,,,,,,,,,,0.82,7.5,8.9,0.029,,,,,,7.7,,mg/L,1977.0
"GREGOIRE LAKE, AT WIER - GRAB",1977-08-19,Far,,,15.5,,,,,,,,,,,,1.12,7.7,8.4,0.028,,,,,,8.1,,mg/L,1977.0
"GREGOIRE LAKE, AT WIER - GRAB",1977-09-20,Far,,,15.5,,,,,,,,,,,,1.01,7.67,8.2,0.024,,,,,,8.2,,mg/L,1977.0
"GREGOIRE LAKE, AT WIER - GRAB",1977-10-13,Far,,,15.5,,,,,,,,,,,,1.18,7.73,7.95,0.029,,,,,,13.0,,mg/L,1977.0
"GREGOIRE LAKE, AT WIER - GRAB",1977-11-16,Far,,,15.5,,,,,,,,,,,,1.0,7.3,8.1,0.021,,,,,,,,mg/L,1977.0
"GREGOIRE LAKE, AT WIER - GRAB",1978-03-27,Far,,,19.5,,,,,,,,,,,,0.72,7.55,,0.016,,,,,,,,mg/L,1978.0
"GREGOIRE LAKE, AT WIER - GRAB",1978-04-17,Far,,,17.3,,,,,,,,,,,,0.74,7.68,,0.022,,,,,,14.3,,mg/L,1978.0
"GREGOIRE LAKE, AT WIER - GRAB",1978-05-10,Far,,,15.2,,,,,,,,,,,,0.085,7.75,7.4,0.02,,,,,,8.1,,mg/L,1978.0
"GREGOIRE LAKE, AT WIER - GRAB",1978-06-08,Far,,,15.5,,,,,,,,,,,,0.55,7.65,8.3,0.019,,,,,,8.1,,mg/L,1978.0
"GREGOIRE LAKE, AT WIER - GRAB",1978-07-05,Far,,,16.0,,,,,,,,,,,,1.4,7.65,8.3,0.025,,,0.002,,,10.4,,mg/L,1978.0
"GREGOIRE LAKE, AT WIER - GRAB",1978-08-30,Far,,,17.3,,,,,,,,,,,,1.26,7.37,9.0,0.034,,,,,,6.8,,mg/L,1978.0
"GREGOIRE LAKE, AT WIER - GRAB",1978-09-27,Far,,,15.5,,,,,,,,,,,,1.96,7.4,8.7,0.029,,,,,,8.2,,mg/L,1978.0
"GREGOIRE LAKE, AT WIER - GRAB",1978-10-25,Far,,,17.5,,,,,,,,,,,,0.8,7.3,8.6,0.038,,,,,,9.35,,mg/L,1978.0
"GREGOIRE LAKE, AT WIER - GRAB",1978-11-21,Far,,,15.5,,,,,,,,,,,,1.0,7.3,8.45,0.034,,,,,,,,mg/L,1978.0
"GREGOIRE LAKE, AT WIER - GRAB",1978-12-20,Far,,,21.0,,,,,,,,,,,,0.72,7.7,,0.017,,,,,,,,mg/L,1978.0
"GREGOIRE LAKE, AT WIER - GRAB",1979-01-11,Far,,,19.0,,,,,,,,,,,,0.76,7.5,,0.019,,,,,,,,mg/L,1979.0
"GREGOIRE LAKE, AT WIER - GRAB",1979-02-12,Far,,,23.0,,,,,,,,,,,,0.42,7.9,,0.025,,,,,,,,mg/L,1979.0
"GREGOIRE LAKE, AT WIER - GRAB",1979-03-14,Far,,,20.0,,,,,,,,,,,,2.08,7.8,,0.015,,,,,,,,mg/L,1979.0
"GREGOIRE LAKE, AT WIER - GRAB",1979-04-19,Far,,,21.5,,,,,,,0.0006,,,,,0.92,7.7,,0.018,,,,,,,,mg/L,1979.0
"GREGOIRE LAKE, AT WIER - GRAB",1979-05-07,Far,,,20.0,,,,,,,,,,,,0.3,7.5,,0.025,,,,,,,,mg/L,1979.0
"GREGOIRE LAKE, AT WIER - GRAB",1979-06-12,Far,,,15.3,,,,,,,,,,,,0.28,7.55,8.6,0.029,,,,,,8.9,,mg/L,1979.0
"GREGOIRE LAKE, AT WIER - GRAB",1979-07-11,Far,,,15.0,,,,,,,0.0001,,,,,1.02,7.4,8.4,0.031,,,,,,10.0,,mg/L,1979.0
"GREGOIRE LAKE, AT WIER - GRAB",1979-08-14,Far,,,14.3,,,,,,,0.0044,,,,,1.34,7.6,8.1,0.05,,,,,,7.9,,mg/L,1979.0
"GREGOIRE LAKE, AT WIER - GRAB",1979-09-19,Far,,,15.7,,,,,,,,,,,,0.82,7.14,8.3,0.056,,,0.002,,,11.0,,mg/L,1979.0
"GREGOIRE LAKE, AT WIER - GRAB",1979-10-16,Far,,,15.5,,,,,,,0.0003,,,,,1.1,7.2,,0.055,,,,,,12.4,,mg/L,1979.0
"GREGOIRE LAKE, AT WIER - GRAB",1980-01-10,Far,,,19.8,,,,,,,0.0006,,,,,1.34,7.34,7.7,0.017,,,,,,,,mg/L,1980.0
"GREGOIRE LAKE, AT WIER - GRAB",1980-02-20,Far,,,21.8,,,,,,,,,,,,0.84,8.0,8.3,0.02,,,,,,,,mg/L,1980.0
"GREGOIRE LAKE, AT WIER - GRAB",1980-03-12,Far,,,22.2,,,,,,,0.0001,,,,,1.0,7.16,7.53,0.048,,,,,,,,mg/L,1980.0
"GREGOIRE LAKE, AT WIER - GRAB",1980-05-08,Far,,,14.0,,,,,,,,,,,,0.7,7.44,8.17,0.042,,,,,,11.2,,mg/L,1980.0
"GREGOIRE LAKE, AT WIER - GRAB",1980-08-05,Far,,,15.5,,,,,,,,,,,,0.81,6.85,,0.05,,,,,,11.2,,mg/L,1980.0
"GREGOIRE LAKE, AT WIER - GRAB",1980-11-04,Far,,,13.6,,,,,,,,,,,,1.08,7.03,,0.03,,,,,,,,mg/L,1980.0
"GREGOIRE LAKE, AT WIER - GRAB",1981-01-06,Far,,,18.7,,,,,,,,,,,,1.12,7.22,,0.042,,,,,,,,mg/L,1981.0
"GREGOIRE LAKE, AT WIER - GRAB",1981-03-31,Far,,,17.0,,,,,,,,,,,,1.02,7.92,,0.023,,,,,,,,mg/L,1981.0
"GREGOIRE LAKE, AT WIER - GRAB",1981-07-09,Far,,,13.7,,,,,,,,,,,,1.05,6.93,8.6,0.07,,,,,,10.3,,mg/L,1981.0
"GREGOIRE LAKE, AT WIER - GRAB",1982-05-06,Far,,,9.0,,,,,,,,,,,,,7.6,,,,,,,,,,mg/L,1982.0
"GREGOIRE LAKE, AT WIER - GRAB",1982-06-23,Far,,,14.0,,,,,,,,,,,,,7.5,,,,,,,,,,mg/L,1982.0
"GREGOIRE LAKE, AT WIER - GRAB",1982-07-19,Far,,,15.0,,,,,,,,,,,,,7.11,,,,,,,,,,mg/L,1982.0
"GREGOIRE LAKE, AT WIER - GRAB",1982-08-12,Far,,,14.4,,,,,,,,,,,,,7.47,,,,,,,,,,mg/L,1982.0
"GREGOIRE LAKE, AT WIER - GRAB",1982-08-23,Far,,,14.2,,,,,,,,,,,,,7.29,8.2,,,,,,,10.6,,mg/L,1982.0
"GREGOIRE LAKE, AT WIER - GRAB",1982-10-04,Far,,,14.2,,,,,,,,,,,,,7.22,,,,,,,,,,mg/L,1982.0
"GREGOIRE LAKE, AT WIER - GRAB",1983-04-20,Far,,,17.1,,,,,,,,,,,,,7.02,,,,,,,,,,mg/L,1983.0
"GREGOIRE LAKE, AT WIER - GRAB",1983-05-02,Far,,,16.5,,,,,,,,,,,,,7.09,,,,,,,,,,mg/L,1983.0
"GREGOIRE LAKE, AT WIER - GRAB",1983-06-02,Far,,,14.1,,,,,,,,,,,,,7.4,,,,,,,,,,mg/L,1983.0
"GREGOIRE LAKE, AT WIER - GRAB",1983-06-21,Far,,,15.6,,,,,,,,,,,,,7.52,,,,,,,,,,mg/L,1983.0
"GREGOIRE LAKE, AT WIER - GRAB",1983-07-27,Far,,,16.0,,,,,,,,,,,,,7.68,,,,,,,,,,mg/L,1983.0
"GREGOIRE LAKE, AT WIER - GRAB",1983-08-31,Far,,,16.0,,,,,,,,,,,,,8.02,,,,,,,,,,mg/L,1983.0
"GREGOIRE LAKE, AT WSC GAUGE AT PIER ONE HALF MILE WEST OF ANZAC - GRAB",1976-10-12,Far,,,15.5,,,,,,,,,,,,1.3,7.2,,0.09,,,,,,,,mg/L,1976.0
"GREGOIRE LAKE, COMPOSITE",1989-06-07,Far,,,,,,,,,,,,,,,,,,0.0241,,,,,,,,mg/L,1989.0
"GREGOIRE LAKE, COMPOSITE",1989-07-05,Far,,,,,,,,,,,,,,,,,,0.0213,,,,,,,,mg/L,1989.0
"GREGOIRE LAKE, COMPOSITE",1989-08-08,Far,,,15.0,,,,,,,,,,,,,7.63,,0.0175,,,,,,,,mg/L,1989.0
"GREGOIRE LAKE, COMPOSITE",1989-09-13,Far,,,16.9,,,,,,,,,,,,0.62,7.24,,0.0296,,,,,,,,mg/L,1989.0
"GREGOIRE LAKE, COMPOSITE",1990-07-05,Far,,,18.0,,,,,,,,,,,,,7.78,,0.0216,,,,,,,,mg/L,1990.0
"GREGOIRE LAKE, COMPOSITE",1990-08-09,Far,,,,,,,,,,,,,,,,,,0.042,,,,,,,,mg/L,1990.0
"GREGOIRE LAKE, COMPOSITE",1990-09-13,Far,,,17.0,,,,,,,,,,,,,7.91,,0.0382,,,,,,,,mg/L,1990.0
"GREGOIRE LAKE, COMPOSITE",1991-07-23,Far,,,15.0,,,,,,,,,,,,,7.67,,0.038,,,,,,,,mg/L,1991.0
"GREGOIRE LAKE, COMPOSITE",1991-08-27,Far,,,15.0,,,,,,,,,,,,,7.69,,0.0546,,,,,,,,mg/L,1991.0
"GREGOIRE LAKE, COMPOSITE",1991-09-25,Far,,,15.0,,,,,,,,,,,,,7.73,,0.0371,,,,,,,,mg/L,1991.0
"GREGOIRE LAKE, COMPOSITE",1991-10-22,Far,,,15.0,,,,,,,,,,,,,7.18,,0.0332,,,,,,,,mg/L,1991.0
"GREGOIRE LAKE, COMPOSITE",1992-06-15,Far,,,16.0,,,,,,,,,,,,,7.87,,0.0203,,,,,,,,mg/L,1992.0
"GREGOIRE LAKE, COMPOSITE",1992-07-06,Far,,,,,,,,,,,,,,,,,,0.0183,,,,,,,,mg/L,1992.0
"GREGOIRE LAKE, COMPOSITE",1992-08-11,Far,,,16.0,,,,,,,,,,,,,7.98,,0.0252,,,,,,,,mg/L,1992.0
"GREGOIRE LAKE, COMPOSITE",1992-09-29,Far,,,,,,,,,,,,,,,,,,0.0194,,,,,,,,mg/L,1992.0
"GREGOIRE LAKE, COMPOSITE",1993-06-14,Far,,,16.0,,,,,,,,,,,,,7.78,,0.0214,,,,,,,,mg/L,1993.0
"GREGOIRE LAKE, COMPOSITE",1993-07-05,Far,,,,,,,,,,,,,,,,,,0.0202,,,,,,,,mg/L,1993.0
"GREGOIRE LAKE, COMPOSITE",1993-07-07,Far,,,,,,,,,,,,,,,,,,0.0266,,,,,,,,mg/L,1993.0
"GREGOIRE LAKE, COMPOSITE",1993-07-14,Far,,,17.0,,,,,,,,,,,,0.46,8.24,,0.018,,,,,,,,mg/L,1993.0
"GREGOIRE LAKE, COMPOSITE",1993-07-28,Far,,,,,,,,,,,,,,,,,,0.0161,,,,,,,,mg/L,1993.0
"GREGOIRE LAKE, COMPOSITE",1993-08-03,Far,,,,,,,,,,,,,,,,,,0.0316,,,,,,,,mg/L,1993.0
"GREGOIRE LAKE, COMPOSITE",1993-08-31,Far,,,,,,,,,,,,,,,,,,0.0218,,,,,,,,mg/L,1993.0
"GREGOIRE LAKE, COMPOSITE",1994-05-25,Far,,,17.0,,,,,,,,,,,,,7.82,,0.0181,,,,,,,,mg/L,1994.0
"GREGOIRE LAKE, COMPOSITE",1994-07-17,Far,,,16.0,,,,,,,,,,,,,8.36,,0.022,,,,,,,,mg/L,1994.0
"GREGOIRE LAKE, COMPOSITE",1994-08-01,Far,,,,,,,,,,,,,,,,,,0.0243,,,,,,,,mg/L,1994.0
"GREGOIRE LAKE, COMPOSITE",1994-08-28,Far,,,17.0,,,,,,,,,,,,,7.77,,0.0363,,,,,,,,mg/L,1994.0
"GREGOIRE LAKE, COMPOSITE",1994-09-12,Far,,,,,,,,,,,,,,,,,,0.0301,,,,,,,,mg/L,1994.0
"GREGOIRE LAKE, COMPOSITE",1995-07-03,Far,,,17.0,,,,,,,,,,,,,7.61,,0.0282,,,,,,,,mg/L,1995.0
"GREGOIRE LAKE, COMPOSITE",1995-07-23,Far,,,,,,,,,,,,,,,,,,0.0317,,,,,,,,mg/L,1995.0
"GREGOIRE LAKE, COMPOSITE",1995-08-20,Far,,,,,,,,,,,,,,,,,,0.0533,,,,,,,,mg/L,1995.0
"GREGOIRE LAKE, COMPOSITE",1995-09-10,Far,,,16.0,,,,,,,,,,,,,7.64,,0.0339,,,,,,,,mg/L,1995.0
"GREGOIRE LAKE, COMPOSITE",1996-05-27,Far,,,20.0,,,,,,,,,,,,,7.06,,0.025,,,,,,,,mg/L,1996.0
"GREGOIRE LAKE, COMPOSITE",1996-06-09,Far,,,,,,,,,,,,,,,,,,0.0248,,,,,,,,mg/L,1996.0
"GREGOIRE LAKE, COMPOSITE",1996-07-02,Far,,,15.5,,,,,,,,,,,,,7.2,,0.0284,,,,,,,,mg/L,1996.0
"GREGOIRE LAKE, COMPOSITE",1996-07-14,Far,,,,,,,,,,,,,,,,,,0.0268,,,,,,,,mg/L,1996.0
"GREGOIRE LAKE, COMPOSITE",1996-08-18,Far,,,,,,,,,,,,,,,,,,0.0341,,,,,,,,mg/L,1996.0
"GREGOIRE LAKE, COMPOSITE",1997-05-25,Far,,,15.2,,,,,,,,,,,,,6.8,,0.0315,,,,,,,,mg/L,1997.0
"GREGOIRE LAKE, COMPOSITE",1997-06-11,Far,,,,,,,,,,,,,,,,,,0.0228,,,,,,,,mg/L,1997.0
"GREGOIRE LAKE, COMPOSITE",1997-07-01,Far,,,14.9,,,,,,,,,,,,,7.04,,0.0251,,,,,,,,mg/L,1997.0
"GREGOIRE LAKE, COMPOSITE",1997-07-20,Far,,,,,,,,,,,,,,,,,,0.0273,,,,,,,,mg/L,1997.0
"GREGOIRE LAKE, COMPOSITE",1997-07-27,Far,,,,,,,,,,,,,,,,,,0.0346,,,,,,,,mg/L,1997.0
"GREGOIRE LAKE, COMPOSITE",1997-08-18,Far,,,,,,,,,,,,,,,,,,0.0347,,,,,,,,mg/L,1997.0
"GREGOIRE LAKE, COMPOSITE",1997-09-03,Far,,,16.1,,,,,,,,,,,,,7.09,,0.0372,,,,,,,,mg/L,1997.0
"GREGOIRE LAKE, COMPOSITE",1997-09-23,Far,,,,,,,,,,,,,,,,,,0.0481,,,,,,,,mg/L,1997.0
"GREGOIRE LAKE, COMPOSITE",1998-05-19,Far,,,15.6,,,,,,,,,,,,,6.33,,0.0246,,,,,,,,mg/L,1998.0
"GREGOIRE LAKE, COMPOSITE",1998-06-21,Far,,,,,,,,,,,,,,,,,,0.0237,,,,,,,,mg/L,1998.0
"GREGOIRE LAKE, COMPOSITE",1998-07-19,Far,,,16.1,,,,,,,,,,,,,6.87,,0.0337,,,,,,,,mg/L,1998.0
"GREGOIRE LAKE, COMPOSITE",1998-08-16,Far,,,,,,,,,,,,,,,,,,0.0448,,,,,,,,mg/L,1998.0
"GREGOIRE LAKE, COMPOSITE",1999-07-11,Far,,,16.8,,,,,,,,,,,,,7.9,,0.0284,,,,,,,,mg/L,1999.0
"GREGOIRE LAKE, COMPOSITE",1999-08-05,Far,,,,,,,,,,,,,,,,,,0.0342,,,,,,,,mg/L,1999.0
"GREGOIRE LAKE, COMPOSITE",1999-09-23,Far,,,19.3,,,,,,,,,,,,,7.55,,0.0487,,,,,,,,mg/L,1999.0
"GREGOIRE LAKE, COMPOSITE",2000-05-31,Far,,,,,,,,,,,,,,,,,,0.0248,,,,,,,,mg/L,2000.0
"GREGOIRE LAKE, COMPOSITE",2000-06-26,Far,,,18.3,,,,,,,,,,,,,7.9,,0.0274,,,,,,,,mg/L,2000.0
"GREGOIRE LAKE, COMPOSITE",2000-07-31,Far,,,,,,,,,,,,,,,,,,0.031,,,,,,,,mg/L,2000.0
"GREGOIRE LAKE, COMPOSITE",2000-08-31,Far,,,18.7,,,,,,,,,,,,,8.0,,0.0569,,,,,,,,mg/L,2000.0
"GREGOIRE LAKE, COMPOSITE",2001-06-17,Far,,,18.6,,,,,,,,,,,,,7.9,,0.027,,,,,,,,mg/L,2001.0
"GREGOIRE LAKE, COMPOSITE",2001-07-15,Far,,,,,,,,,,,,,,,,,,0.0494,,,,,,,,mg/L,2001.0
"GREGOIRE LAKE, COMPOSITE",2001-08-26,Far,,,20.0,,,,,,,,,,,,,7.7,,0.0667,,,,,,,,mg/L,2001.0
"GREGOIRE LAKE, COMPOSITE",2002-06-09,Far,,,19.9,,,,,,,,,,,,,7.4,,0.0229,,,,,,,,mg/L,2002.0
"GREGOIRE LAKE, COMPOSITE",2002-07-24,Far,,,,,,,,,,,,,,,,,,0.025,,,,,,,,mg/L,2002.0
"GREGOIRE LAKE, COMPOSITE",2002-09-12,Far,,,19.0,,,,,,,,,,,,,7.8,,0.0241,,,,,,,,mg/L,2002.0
"GREGOIRE LAKE, COMPOSITE",2003-06-10,Far,,,,,,,,,,,,,,,,7.65,,0.0266,,,,,,,,pH units,2003.0
"GREGOIRE LAKE, COMPOSITE",2003-07-06,Far,,,,,,,,,,,,,,,,,,0.0316,,,,,,,,mg/L,2003.0
"GREGOIRE LAKE, COMPOSITE",2003-08-31,Far,,,,,,,,,,,,,,,,,,0.0452,,,,,,,,mg/L,2003.0
"GREGOIRE LAKE, COMPOSITE",2004-06-22,Far,,,,,,,,,,,,,,,0.55,7.9,,0.0278,,,,,,,,mg/L,2004.0
"GREGOIRE LAKE, COMPOSITE",2004-07-11,Far,,,,,,,,,,,,,,,0.66,7.99,,0.0272,,,,,,,,mg/L,2004.0
"GREGOIRE LAKE, COMPOSITE",2004-08-02,Far,,,,,,,,,,,,,,,0.92,8.04,,0.0441,,,,,,,,mg/L,2004.0
"GREGOIRE LAKE, COMPOSITE",2004-08-18,Far,,,,,,,,,,,,,,,1.11,8.31,,0.0509,,,,,,,,mg/L,2004.0
"GREGOIRE LAKE, COMPOSITE",2004-09-13,Far,,,,,,,,,,,,,,,0.85,7.75,,0.0505,,,,,,,,mg/L,2004.0
"GREGOIRE LAKE, COMPOSITE",2005-06-28,Far,,,,,,,,,,,,,,,,,,0.0221,,,,,,,,mg/L,2005.0
"GREGOIRE LAKE, COMPOSITE",2005-07-12,Far,,,,,,,,,,,,,,,,,,0.0258,,,,,,,,mg/L,2005.0
"GREGOIRE LAKE, COMPOSITE",2005-07-28,Far,,,,,,,,,,,,,,,,,,0.031,,,,,,,,mg/L,2005.0
"GREGOIRE LAKE, COMPOSITE",2005-09-05,Far,,,,,,,,,,,,,,,,,,0.0343,,,,,,,,mg/L,2005.0
"GREGOIRE LAKE, COMPOSITE",2006-07-09,Far,,,,,,,,,,,,,,,0.73,7.85,,0.028,,,,,,,,mg/L,2006.0
"GREGOIRE LAKE, COMPOSITE",2006-07-25,Far,,,,,,,,,,,,,,,0.61,7.99,,0.033,,,,,,,,mg/L,2006.0
"GREGOIRE LAKE, COMPOSITE",2006-08-11,Far,,,,,,,,,,,,,,,1.04,7.87,,0.039,,,,,,,,mg/L,2006.0
"GREGOIRE LAKE, COMPOSITE",2006-08-29,Far,,,,,,,,,,,,,,,0.58,7.97,,0.036,,,,,,,,mg/L,2006.0
"GREGOIRE LAKE, COMPOSITE",2006-09-20,Far,,,,,,,,,,,,,,,0.57,7.9,,0.037,,,,,,,,mg/L,2006.0
"GREGOIRE LAKE, COMPOSITE",2007-06-27,Far,,,,,,,,,,,,,,,,,,0.021,,,,,,,,mg/L,2007.0
"GREGOIRE LAKE, COMPOSITE",2007-07-22,Far,,,,,,,,,,,,,,,,,,0.032,,,,,,,,mg/L,2007.0
"GREGOIRE LAKE, COMPOSITE",2007-08-07,Far,,,,,,,,,,,,,,,,,,0.036,,,,,,,,mg/L,2007.0
"GREGOIRE LAKE, COMPOSITE",2007-08-27,Far,,,,,,,,,,,,,,,,,,0.051,,,,,,,,mg/L,2007.0
"GREGOIRE LAKE, COMPOSITE",2007-09-19,Far,,,,,,,,,,,,,,,,,,0.034,,,,,,,,mg/L,2007.0
"GREGOIRE LAKE, COMPOSITE",2008-06-18,Far,,,,,,,,,,,,,,,0.63,7.12,,0.039,0.011,,,,,,,mg/L,2008.0
"GREGOIRE LAKE, COMPOSITE",2008-07-14,Far,,,,,,,,,,,,,,,0.82,7.3,,0.04,0.008,,,,,,,mg/L,2008.0
"GREGOIRE LAKE, COMPOSITE",2008-08-06,Far,,,,,,,,,,,,,,,0.76,8.09,,0.044,0.017,,,,,,,mg/L,2008.0
"GREGOIRE LAKE, COMPOSITE",2008-09-04,Far,,,,,,,,,,,,,,,0.91,6.9,,0.057,0.011,,,,,,,mg/L,2008.0
"GREGOIRE LAKE, COMPOSITE",2008-09-29,Far,,,,,,,,,,,,,,,0.82,6.87,,0.057,0.012,,,,,,,mg/L,2008.0
"GREGOIRE LAKE, COMPOSITE",2013-06-19,Far,,,,,,,,,,,,,,,0.668,7.76,,0.039,0.028,,,,,,,mg/L,2013.0
"GREGOIRE LAKE, COMPOSITE",2013-07-16,Far,,,,,,,,,,,,,,,0.75,7.98,,0.053,0.04,,,,,,,mg/L,2013.0
"GREGOIRE LAKE, COMPOSITE",2013-07-27,Far,,82.9,,,,0.632,,0.0911,,,,,1.08,,0.71,7.85,,0.009,0.007,,0.348,,,,,ug/L,2013.0
"GREGOIRE LAKE, COMPOSITE",2013-08-27,Far,,,,,,,,,,,,,,,0.9,7.84,,0.052,0.007,,,,,,,mg/L,2013.0
"GREGOIRE LAKE, COMPOSITE",2017-06-26,Far,,,19.0,,,,,,,,,,,,0.71,7.81,,0.022,0.0048,,,,,,,mg/L,2017.0
"GREGOIRE LAKE, COMPOSITE",2017-07-26,Far,,,21.0,,,,,,,,,,,,1.2,8.62,,0.032,0.0052,,,,,,,mg/L,2017.0
"GREGOIRE LAKE, COMPOSITE",2017-08-23,Far,,,21.0,,,,,,,,,,,,0.96,7.93,,0.034,0.0053,,,,,,,mg/L,2017.0
"GREGOIRE LAKE, COMPOSITE",2017-09-24,Far,,,22.0,,,,,,,,,,,,0.79,7.89,,0.026,0.0074,,,,,,,mg/L,2017.0
"GREGOIRE LAKE, COMPOSITE",2021-06-18,Far,,,17.0,,,,,,,,,,,,0.86,7.82,,0.027,0.0053,,,,,,,mg/L,2021.0
"GREGOIRE LAKE, COMPOSITE",2021-07-09,Far,,,17.0,,,,,,,,,,,,0.72,7.41,,0.021,,,,,,,,mg/L,2021.0
"GREGOIRE LAKE, COMPOSITE",2021-08-20,Far,,,14.0,,,,,,,,,,,,0.66,6.92,,0.025,0.0041,,,,,,,mg/L,2021.0
"GREGOIRE LAKE, COMPOSITE",2021-09-17,Far,,,17.0,,,,,,,,,,,,0.82,7.47,,0.039,0.0066,,,,,,,mg/L,2021.0
"GREGOIRE LAKE, COMPOSITE",2025-06-12,Far,,,20.0,,,,,,,,,,,0.35,0.67,7.29,,0.02,0.0053,,,,,,,mg/L,2025.0
"GREGOIRE LAKE, COMPOSITE",2025-07-14,Far,,,22.0,,,,,,,,,,,0.35,0.77,7.95,,0.023,0.0034,,,,,,,mg/L,2025.0
"GREGOIRE LAKE, COMPOSITE",2025-08-20,Far,,,21.0,,,,,,,,,,,0.38,0.67,7.98,,0.02,0.006,,,,,,,mg/L,2025.0
"GREGOIRE LAKE, COMPOSITE",2025-10-06,Far,,,22.0,,,,,,,,,,,0.28,0.7,7.41,,0.031,0.011,,,,,,,mg/L,2025.0
"GREGOIRE LAKE, PROFILE",1988-08-18,Far,,,15.0,,,,,,,,,,,,0.64,7.5,,,,,,,,,,mg/L,1988.0
"GREGOIRE LAKE, PROFILE",1989-09-13,Far,,,,,,,,,,,,,,,,,7.7,,,,,,,9.6,,pH units,1989.0
"GREGOIRE LAKE, PROFILE",1990-03-16,Far,,,21.0,,,,,,,,,,,,0.43,7.28,7.8,0.0187,0.014,,,,,11.0,,mg/L,1990.0
"GREGOIRE LAKE, PROFILE",1990-08-21,Far,,,,,,,,,,,,,,,,,8.6,,,,,,,9.9,,pH units,1990.0
"GREGOIRE LAKE, PROFILE",1991-01-23,Far,,,28.0,,,,,,,,,,,,0.91,8.23,7.35,0.0127,,,,,,12.34,,mg/L,1991.0
"GREGOIRE LAKE, PROFILE",1991-08-15,Far,,,,,,,,,,,,,,,,,8.5,,,,,,,9.6,,pH units,1991.0
"GREGOIRE LAKE, PROFILE",1992-08-12,Far,,,,,,,,,,,,,,,,,7.92,,,,,,,8.74,,pH units,1992.0
"GREGOIRE LAKE, PROFILE",1993-07-14,Far,,,,,,,,,,,,,,,,,8.23,,,,,,,9.82,,pH units,1993.0
"GREGOIRE LAKE, PROFILE",1994-03-11,Far,,,21.0,,,,,,,,,,,,0.42,7.56,7.38,0.0165,0.0134,,,,,12.1,,mg/L,1994.0
"GREGOIRE LAKE, PROFILE",1996-08-01,Far,,,,,,,,,,,,,,,,,7.58,,,,,,,7.89,,pH units,1996.0
"GREGOIRE LAKE, PROFILE",1997-02-27,Far,,,18.0,,,,,,,,,,,,0.4,7.05,7.06,0.022,,,,,,11.8,,mg/L,1997.0
"GREGOIRE LAKE, PROFILE",1997-08-20,Far,,,,,,,,,,,,,,,,,7.85,,,,,,,8.73,,pH units,1997.0
