lake,sampling_timestamp,sample_timestamp,measurement_value,measurement_value_raw,site_name,station_name,depth,value_sign,unit_symbol,method,laboratory,sampling_number,sample_number,rdl,sample_location,sample_type,aluminum_dissolved,aluminum_total_recoverable,calcium_dissolved,calcium_total,copper_dissolved,copper_total_recoverable,lead_dissolved,lead_total_recoverable,nickel_dissolved,nickel_total_recoverable,nitrogen_total,oxygen_biochemical_demand,ph,phosphorus_total_dissolved,phosphorus_total,turbidity,vanadium_dissolved,vanadium_total_recoverable
gregoire,2016-03-10 12:00:00,2016-03-10 12:00:00,50.4,50.4,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,'---,mg/l,1847,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),112660,,0.01,'---,,,,,50.4,,,,,,,,,,,,,,
gregoire,2016-03-10 12:00:00,2016-03-10 12:00:00,59.0,59.0,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,'---,mg/l,440,"MAXXAM (CHEMEX) LABS ALBERTA INC., CALGARY, ALBERTA.",112660,,0.3,'---,,,,,59.0,,,,,,,,,,,,,,
gregoire,2016-07-20 12:00:00,2016-07-20 11:00:00,28.7,28.7,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,'---,mg/l,1847,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),112405,,0.01,'---,,,,,28.7,,,,,,,,,,,,,,
gregoire,2016-07-20 12:00:00,2016-07-20 11:00:00,30.0,30.0,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,'---,mg/l,440,"MAXXAM (CHEMEX) LABS ALBERTA INC., CALGARY, ALBERTA.",112405,,0.3,'---,,,,,30.0,,,,,,,,,,,,,,
gregoire,2016-09-21 12:00:00,2016-09-21 11:00:00,26.1,26.1,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,'---,mg/l,1847,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),112207,,0.01,'---,,,,,26.1,,,,,,,,,,,,,,
gregoire,2016-09-21 12:00:00,2016-09-21 11:00:00,29.0,29.0,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,'---,mg/l,440,"MAXXAM (CHEMEX) LABS ALBERTA INC., CALGARY, ALBERTA.",112207,,0.3,'---,,,,,29.0,,,,,,,,,,,,,,
gregoire,2017-03-15 12:00:00,2017-03-15 11:00:00,41.7,41.7,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,'---,mg/l,1847,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),111901,,0.01,'---,,,,,41.7,,,,,,,,,,,,,,
gregoire,2017-03-15 12:00:00,2017-03-15 11:00:00,44.0,44.0,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,'---,mg/l,440,"MAXXAM (CHEMEX) LABS ALBERTA INC., CALGARY, ALBERTA.",111901,,0.3,'---,,,,,44.0,,,,,,,,,,,,,,
gregoire,2014-07-10 12:00:00,2014-07-10 11:00:00,0.82,0.82,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,'---,µg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),107356,,8E-05,'---,,,,,,0.82,,,,,,,,,,,,,
gregoire,2014-09-07 12:00:00,2014-09-07 11:00:00,0.73,0.73,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,'---,µg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),107362,,8E-05,'---,,,,,,0.73,,,,,,,,,,,,,
